id,title,type,description,release_year,age_certification,runtime,genres,production_countries
tm44615,Ferrari Ki Sawaari,MOVIE,"A little boy thinks of nothing but cricket. His father, Rusy, thinks of nothing but his little boy. To fulfill his sons dream of playing at Lords cricket ground, the honest and upright Rusy takes a reckless step. He borrows a gleaming red Ferrari. Just for one hour. The only trouble-- he doesnt inform the cars legendary owner. A wild, breathless, bumpy ride begins. A naive Rusy must dodge bullets and bouncers for one unforgettable night, and play the role of a perfect father. Can he do it?  Ferrari Ki Sawaari is a fun-filled story of small guys and their big dreams and how these dreams turn into a mad comedy of errors.  Fasten your seatbelts. The joyride awaits",2012,G,140,"['family', 'comedy', 'drama', 'sport']",['IN']
tm54780,Tiger & Bunny: The Beginning,MOVIE,"Set on an alternative Earth, Superheroes are celebrities and a high rating TV show rates their achievements, awarding them points until an annual King of Heroes is crowned. Old-school hero Wild Tiger is assigned a new partner with very different views on the heroes role in society but soon a vigilante criminal presents them with a serious problem.",2012,PG,88,"['scifi', 'animation', 'action']",['JP']
ts99814,Masameer,SHOW,A popular Saudi animation show talks sarcastically about general issues in Saudi Arabia and Arab world by short stories represented by characters that imply some segments of society in Saudi and Arab community,2011,TV-MA,14,"['comedy', 'animation']",['SA']
tm175909,The Dirty Picture,MOVIE,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",2011,,144,"['drama', 'comedy']",['IN']
tm57382,Kath & Kimderella,MOVIE,Kath & Kim turn more than just heads when they go on an overseas trip and end up being the centre of their very own fairytale.,2012,,80,['comedy'],['AU']
tm59289,Rowdy Rathore,MOVIE,"A small-time thug comes across a young girl who claims him to be her father, following which he realizes he has a lookalike who's being hunted by goons.",2012,PG-13,143,"['action', 'comedy', 'crime']",['IN']
tm47171,OMG: Oh My God!,MOVIE,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,2012,G,125,"['drama', 'fantasy', 'comedy']",['IN']
tm48239,Ek Main Aur Ekk Tu,MOVIE,"Rahul and Riana meet each other for the first time, get drunk, and awake the next morning to find that they have gotten legally married to each other.",2012,PG,110,"['drama', 'romance', 'comedy']",['IN']
tm160021,A Beautiful Life,MOVIE,"Fang Zhen Dong (Liu Ye) is a patrolling officer in Beijing who one night meets the drunk Li Pei Ru (Shu Qi) while singing karaoke at the KTV place. Li Pei Ru is a real estate agent from Hong Kong who has vowed to make her fortune in the cosmoplitan Beijing, but is caught up in the complexities of life and ends up becoming a mistress of a married man.",2011,,124,"['drama', 'romance']","['HK', 'CN']"
tm54371,Mugamoodi,MOVIE,A man can no longer tolerate injustice and corruption and he becomes a vigilante to fight for a better society.,2012,,156,"['drama', 'action']",['IN']
tm172883,Game,MOVIE,"Four strangers are invited by the reclusive Kabir Malhotra, to his private island of Samos, Greece. They don't know each other and they don't know him ... and by the next morning they will wish they had never come.",2011,PG,135,"['thriller', 'action', 'crime', 'drama', 'european']",['IN']
tm70528,Material,MOVIE,"Cassim Kaif is a young Muslim man who works in his father's fabric shop in Fordsburg, Johannesburg. In the family tradition, Cassim, as the only son, is expected to take over the family business from his father.",2012,,94,"['comedy', 'drama']",['ZA']
tm74031,Kyaa Super Kool Hain Hum,MOVIE,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.,2012,R,137,"['drama', 'comedy']",['IN']
tm181856,Jeff Dunham: Controlled Chaos,MOVIE,"Jeff Dunham is back in his fourth concert event, with all-new material. All the favorites are here: Walter, the grumpy retiree; furry and manic Peanut; Jose Jalapeño, the spicy pepper from south of the border; plus bumbling skeletal Achmed the Dead Terrorist. Dunham is also joined by two never-before-seen characters certain to unleash their own unique havoc on stage.",2011,,90,"['comedy', 'documentation']",['US']
tm39606,Tere Naal Love Ho Gaya,MOVIE,"In a quaint village of Haryana lives Miny, a free-spirited tomboy who instantly wins your heart with her bubbly personality. Her father, Bhatti, runs an auto-rickshaw business and is adamant to marry her off against her liking to Sunny. The male protagonist Viren, is a humble and ambitious rickshaw driver working for Miny's father. Bhatti, insecure about Viren's success, sells of all the rickshaws where Viren had carefully stashed his life savings. In an attempt to recover his money from Bhatti, Viren storms into Miny's engagement with fury. This gives Miny the perfect opportunity to escape her marriage and so she stages a kidnap. However, the kidnap goes all wrong and she and Viren land up in Viren's family mansion. Eventually, Miny's father arrives with the ransom that she had asked for and takes her back home. Back in Punjab, while she is being married off to Sunny...",2012,PG,126,"['drama', 'comedy', 'romance']",['IN']
tm167241,Ragini MMS,MOVIE,"Out to relax and have fun at a farmhouse, a couple experience horror at the hands of an unknown entity",2011,PG-13,93,"['drama', 'horror', 'thriller']",['IN']
tm71992,Grandmaster,MOVIE,"Chandrashekhar lives alone in a dark and violent city. Even with crime occurring all around him, he withdraws from all responsibility and lives quietly. Soon, change is forced upon him in order to catch a serial killer. Like a grandmaster who anticipates his opponents moves well in advance, he proceeds forward. But only once, just once, he makes a fatal mistake.",2012,,130,"['thriller', 'action']",['IN']
tm31948,26 Years,MOVIE,"26 years ago, state troops were ordered to open fire on civilians in the city of Gwangju who were demonstrating as apart of a democratic movement. Thousands of civilians were killed. Now, a shooter from the national team, a gang member, a policeman, CEO from a large company and director of a private security outfit get involved in a plan to convict the person responsible for the massacre.",2012,,135,"['drama', 'thriller', 'crime']",['KR']
tm69915,Heroine,MOVIE,A female superstar struggles through the trials and tribulations of being a Bollywood actress.,2012,,140,['drama'],['IN']
tm37175,Jeff Dunham: Minding the Monsters,MOVIE,"Stand-up comedian and ventriloquist Jeff Dunham. Enter the ultimate hunted house where Walter transforms into something grumpier than he already is! Watch Bubba J. rise from the dead! Meet Peanut's alter ego, The Purple Venger of the Night, and his spicy sidekick! and witness Achmed litterally dressed to kill in an outfit terrify the most terrifying terrorist!",2012,PG-13,80,['comedy'],['US']
tm66725,Kalakalappu,MOVIE,"A man struggles to save his family-owned restaurant as it is running in loses. He soon falls for a health inspector keen on shutting down the place. When his brother enters the scene, things get worse.",2012,G,149,['comedy'],['IN']
tm169128,An Elf's Story,MOVIE,"The inspirational tale of Chippey, the young scout elf who is assigned by Santa to restore Taylor McTuttle's belief in Christmas magic. When the boy breaks the number one Elf on the Shelf rule, Chippey loses his Christmas magic; the entire McTuttle family loses is scout elf, and both Taylor and Chippey lose their self-respect. Through the power of love and forgiveness, both of them learn the most important lesson of all: that true belief cannot be taught.",2011,,24,"['scifi', 'animation', 'family', 'fantasy']",['US']
tm172353,Bbuddah Hoga Terra Baap,MOVIE,"After a series of bomb blasts in Mumbai, ACP Karan Malhotra announces that he will bring in the culprits responsible within a very short period of time as well attempts to convince his college sweetheart, Tanya P. Nath, to marry him. He then sets about interrogating several suspects so much so that an underworld gangster, Kabir, is compelled to hire an assassin to do away with him. The potential killer, Viju, is an uptight older ex-convict as well as a former gangster, who now runs a pub in Paris, and is willing to kill Karan. As he sets about this gruesome task, he comes across an old flame, Kamini, as well as his estranged wife, Sita - and it is these encounters that may well be the turning point in this life that may convince him to leave the bombs and Bandooks behind and spend the rest of his life praying and watching the Bhakti Channel.",2011,PG-13,117,"['thriller', 'action', 'comedy', 'crime']",['IN']
tm34746,Luv Shuv Tey Chicken Khurana,MOVIE,"On-the-run from the London mafia, Omi returns to his ancestral village – a place he’d flown from with his grandad’s money and grander ‘London Dreams’. Will Omi be able to hide his failures while chasing love, and the lost recipe of the infamous dish, ‘Chicken Khurana’?",2012,PG,140,['comedy'],['IN']
tm53360,Blood Money,MOVIE,"In South Africa, a young man living with his wife becomes embroiled in an illegal diamond business and with time finds his life changing.",2012,PG,110,"['thriller', 'drama', 'crime', 'action']",['IN']
tm180532,Shaitan,MOVIE,Five substance-abusing friends decide to fake a kidnapping in order to bribe a police constable for covering-up a hit-and-run accident.,2011,PG-13,121,"['drama', 'thriller', 'action', 'crime']",['IN']
tm162592,Asmaa,MOVIE,A woman who suffers from AIDS decides not to surrender to the fatal disease. She exerts huge efforts in trying to recover or by helping those who suffer the same disease by giving them glimmers of hope.,2011,,96,['drama'],['EG']
tm70652,Thaandavam,MOVIE,A blind man with his 'Echolocation' power takes on a revenge mission.,2012,,167,"['action', 'thriller']",['IN']
tm30278,Vettai,MOVIE,Guru always helps his timid brother win accolades and promotions in his career as a policeman. But a brutal incident makes Guru realise that he needs to help his brother in another way.,2012,,150,"['action', 'thriller']",['IN']
tm161632,Tom Papa: Live in New York City,MOVIE,"From the Union Square Theater in New York City, veteran comic Tom Papa discusses a variety of topics, ranging from living with the worst roommates in the world to the difficulties of keeping up with rapidly changing technology.",2011,,57,['comedy'],['US']
ts20110,Peaky Blinders,SHOW,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013,TV-MA,58,"['crime', 'drama', 'european']",['GB']
ts20837,Outlander,SHOW,"The story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.",2014,TV-MA,60,"['scifi', 'romance', 'drama', 'fantasy']",['US']
ts20682,Attack on Titan,SHOW,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.",2013,TV-MA,24,"['action', 'scifi', 'animation', 'horror', 'drama', 'fantasy']",['JP']
ts20824,The Originals,SHOW,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.",2013,TV-14,43,"['scifi', 'drama', 'fantasy', 'horror']",['US']
ts1639,The Blacklist,SHOW,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",2013,TV-14,43,"['thriller', 'drama', 'crime']",['US']
ts20351,Married at First Sight,SHOW,"The cart comes way before the horse in the reality series ""Married at First Sight."" Based on a hit Danish format, ""Married..."" features people who agree to participate in an extreme experiment: Each covenants legal marriage with a complete stranger. Specialists -- including a spiritualist, a relationship coach and a sociologist -- use scientific matchmaking methods to determine each couple, who will not have met or had contact with each other until the wedding day. The series then documents the relationships, including honeymoons and other relatable events of married life. After several weeks, each couple must decide whether to remain together or go their individual ways.",2014,TV-PG,64,"['reality', 'romance', 'european']",['US']
ts11188,The Flash,SHOW,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",2014,TV-14,42,"['drama', 'scifi', 'family', 'animation', 'action']",['US']
tm140389,Paddington,MOVIE,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.",2014,PG,95,"['comedy', 'family', 'fantasy', 'animation', 'european']","['US', 'FR', 'GB']"
ts20248,Reign,SHOW,"Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.",2013,TV-14,42,"['drama', 'fantasy', 'history']",['US']
tm150928,It Follows,MOVIE,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.",2014,R,101,"['horror', 'thriller']",['US']
tm140877,The Imitation Game,MOVIE,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",2014,PG-13,113,"['thriller', 'drama', 'war']","['GB', 'US']"
ts8146,The 100,SHOW,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",2014,TV-14,42,"['scifi', 'drama', 'action']",['US']
tm176864,Rush,MOVIE,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,2013,R,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']"
tm151663,Nightcrawler,MOVIE,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",2014,R,118,"['thriller', 'crime', 'drama']",['US']
ts16045,Are You The One?,SHOW,"In the most ambitious dating experiment ever attempted, a group of gorgeous single women and guys are put through an extensive and scientific matchmaking process to find their Perfect Match.",2014,TV-14,41,['reality'],['US']
tm145655,St. Vincent,MOVIE,"A young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who lives next door.",2014,PG-13,102,"['comedy', 'drama']",['US']
tm160621,The Conjuring,MOVIE,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",2013,R,112,"['horror', 'thriller']",['US']
ts20292,Gotham,SHOW,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",2014,TV-14,43,"['drama', 'scifi', 'thriller', 'action', 'crime']",['US']
tm134967,How to Train Your Dragon 2,MOVIE,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",2014,PG,102,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US']
tm183523,Oldboy,MOVIE,An everyday man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,2013,R,104,"['action', 'drama', 'thriller']",['US']
ts6,House of Cards,SHOW,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",2013,TV-MA,52,['drama'],['US']
tm143227,Begin Again,MOVIE,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",2013,R,104,"['drama', 'comedy', 'music', 'romance']",['US']
ts21374,How to Get Away with Murder,SHOW,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",2014,TV-14,43,"['crime', 'drama', 'thriller']",['US']
ts14583,BoJack Horseman,SHOW,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014,TV-MA,26,"['comedy', 'drama', 'animation']",['US']
tm169719,42,MOVIE,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",2013,PG-13,128,"['drama', 'sport']",['US']
tm182429,Olympus Has Fallen,MOVIE,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",2013,R,120,"['action', 'thriller', 'drama']",['US']
ts20261,Madam Secretary,SHOW,"After years away from the CIA, Elizabeth McCord is pulled back into the political arena. The newly appointed Secretary of State is tough, fair and smart driving international diplomacy, wrangling office politics and circumventing protocol as she negotiates global and domestic issues, both at the White House and at home.",2014,TV-14,43,"['war', 'thriller', 'drama']",['US']
tm175843,Dark Skies,MOVIE,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. When it becomes clear that the Barret family is being targeted by an unimaginably terrifying and deadly force, Daniel and Lacey take matters in their own hands to solve the mystery of what is after their family.",2013,PG-13,97,"['scifi', 'thriller', 'horror', 'documentation']",['US']
tm163686,Blue Jasmine,MOVIE,"After experiencing a traumatic misfortune, Jasmine French, a wealthy woman from New York, moves to San Francisco to live with her foster sister Ginger and the firm purpose of getting a new life, but she will be haunted by anxiety and memories of the past.",2013,PG-13,99,"['drama', 'comedy', 'european']",['US']
ts21367,Jane the Virgin,SHOW,"A comedy-drama following a chaste young woman who is accidentally impregnated via artificial insemination as she struggles to inform her devoutly religious family and make the right choices concerning the child. Based on the telenovela ""Juana la virgen.""",2014,TV-14,42,"['drama', 'comedy']",['US']
ts20108,Henry Danger,SHOW,"When 13-year-old Henry Hart lands a job as Danger, the sidekick-in-training to superhero Captain Man, he must learn to navigate a double life balancing the challenges of 8th grade with the crazy adventures of a real-life crime fighter!",2014,TV-G,24,"['comedy', 'family', 'action', 'scifi', 'thriller', 'drama']",['US']
tm180572,Insidious: Chapter 2,MOVIE,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,2013,PG-13,106,"['horror', 'thriller']",['US']
tm151807,Creep,MOVIE,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.",2014,R,82,"['horror', 'thriller']",['US']
tm151764,Barefoot,MOVIE,"The ""black sheep"" son of a wealthy family meets a young psychiatric patient who's been raised in isolation her entire life. He takes the naive young woman home for his brother's wedding an improbable romance blooms, as she impresses everyone with her genuine, simple charms.",2014,PG-13,90,"['romance', 'comedy', 'drama']",['US']
ts20823,Orange Is the New Black,SHOW,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",2013,TV-MA,59,"['drama', 'comedy', 'crime']",['US']
tm153284,The Giver,MOVIE,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",2014,PG-13,97,"['drama', 'scifi', 'thriller', 'romance']",['US']
ts32218,The Thundermans,SHOW,"Meet The Thundermans, a typical suburban family that happens to have astounding superpowers. At the center of the action are the 14-year-old Thunderman twins, who share the same bathroom, the same school, and the same annoying little siblings. Their only difference? The sister is a super student with a super sunny disposition who super looks forward to being a superhero someday, and her twin brother is a super villain.",2013,TV-G,24,"['action', 'scifi', 'family', 'comedy', 'drama']",['US']
ts35682,Wentworth,SHOW,Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison. A modern adaptation and sequel of the iconic Prisoner series.,2013,TV-MA,46,"['drama', 'thriller', 'crime']",['AU']
tm165967,Mandela: Long Walk to Freedom,MOVIE,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,2013,PG-13,141,"['drama', 'history']","['GB', 'ZA']"
ts20791,Z Nation,SHOW,"Three years after the zombie virus has gutted the country, a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.",2014,TV-14,43,"['action', 'comedy', 'drama', 'horror', 'romance', 'scifi']",['US']
tm161525,The Green Inferno,MOVIE,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.",2013,R,100,"['thriller', 'horror']","['US', 'CA', 'CL']"
tm168400,Empire State,MOVIE,"After failing to get into the police academy, Chris Potamitis settles for a security guard job with an armoured truck company. After he makes the mistake of mentioning the company's lax security to his best friend, He's unwittingly drawn into an elaborate scheme to rob the abundant amounts of cash being stored on their premises—resulting in the largest cash heist in U.S.history.",2013,R,94,"['action', 'drama', 'crime', 'thriller', 'european']",['US']
tm161282,Penguins of Madagascar,MOVIE,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",2014,PG,92,"['family', 'animation', 'action', 'comedy', 'scifi']",['US']
ts20280,Marco Polo,SHOW,"An epic adventure that follows the early years of the famous explorer as he travels the exotic Silk Road to the great Kublai Khan’s court. But Marco soon finds that navigating the Khan’s world of greed, betrayal, sexual intrigue and rivalry will be his greatest challenge yet, even as he becomes a trusted companion to the Khan in his violent quest to become the Emperor of the World.",2014,TV-MA,55,"['action', 'drama', 'history', 'documentation']",['US']
tm148671,A Walk Among the Tombstones,MOVIE,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,2014,R,113,"['drama', 'thriller', 'action', 'crime']",['US']
tm171042,The Call,MOVIE,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.",2013,R,94,"['thriller', 'crime', 'drama', 'horror', 'action', 'european']",['US']
ts20288,From Dusk Till Dawn: The Series,SHOW,"The horror and crime thriller genres collide in this new original series from Robert Rodriguez, based on his cult grindhouse classic about bank-robbing brothers on the run, a lawman bent on bringing them to justice, the devout family caught in the cross-fire, and an ancient evil eager to feast on them all.",2014,TV-14,45,"['scifi', 'action', 'crime', 'fantasy', 'horror']",['US']
ts20281,Sofia the First,SHOW,"Set in the storybook world of Enchancia, this is the story of Princess Sofia, an adventurous little girl who is learning how to adjust to royal life after her mom marries the king and she becomes a princess overnight.",2013,TV-Y,24,"['animation', 'family', 'fantasy']",['US']
tm187279,Philomena,MOVIE,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",2013,PG-13,97,"['drama', 'comedy', 'european']",['GB']
tm141648,Seventh Son,MOVIE,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",2014,PG-13,102,"['action', 'fantasy']","['US', 'GB', 'CN', 'CA']"
ts314002,The Seven Deadly Sins,SHOW,"The “Seven Deadly Sins”—a group of evil knights who conspired to overthrow the kingdom of Britannia—were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'état and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the “Seven Deadly Sins,” and to enlist their help in taking back the kingdom.",2014,TV-14,25,"['scifi', 'action', 'animation', 'comedy', 'fantasy']",['JP']
tm176630,The Butler,MOVIE,"A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.",2013,PG-13,132,"['drama', 'european']",['US']
ts32060,Sam & Cat,SHOW,"Sam Puckett is loud, independent, and tough as nails, while Cat Valentine is sweet as pie and super flighty. But that doesn't stop this unlikely pair from becoming best buds and roomies!

Together, they're a power duo with a love for fun and adventure -- it's just too bad that it doesn't come cheap. Burgers at their favorite robot restaurant Bots don't grow on trees, after all. A booming out-of-home babysitting business quickly becomes the answer to their empty-pocket problems, but also an extra reason for countless wacky adventures to come!",2013,TV-G,24,"['comedy', 'drama', 'family']",['US']
tm187979,Cloudy with a Chance of Meatballs 2,MOVIE,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",2013,PG,95,"['animation', 'scifi', 'drama', 'comedy', 'family', 'fantasy']",['US']
tm171228,Metallica: Through the Never,MOVIE,"Trip, a young roadie for Metallica, is sent on an urgent mission during the band's show. But what seems like a simple assignment turns into a surreal adventure.",2013,R,93,['music'],['US']
ts2727,Derek,SHOW,Derek is a loyal nursing home caretaker who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.,2013,TV-MA,27,"['drama', 'comedy', 'european']",['GB']
ts20790,Young & Hungry,SHOW,"Two worlds collide when Josh, a wealthy young tech entrepreneur, meets Gabi, a feisty young food blogger, looking to be his personal chef. Gabi is desperate for the job and must prove herself, mostly to Josh's aide, who prefers a famous chef for the job. When Josh enlists Gabi to prepare a romantic meal for him and his girlfriend, the dinner goes awry and Gabi finds herself in a very awkward position. With the help of her best friend Sofia and Josh's housekeeper, Gabi turns a difficult situation into an opportunity for employment and maybe even love. Gabi gets some much needed help and advice from Josh’s assistant and his housekeeper.",2014,TV-14,21,"['comedy', 'drama', 'romance']",['US']
tm161029,Mr. Peabody & Sherman,MOVIE,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",2014,PG,92,"['action', 'family', 'animation', 'romance', 'comedy', 'fantasy', 'history', 'scifi']",['US']
ts20014,Sailor Moon Crystal,SHOW,Usagi Tsukino is chosen to be a guardian of justice and is sent on a quest to locate a Silver Crystal before the Dark Kingdom invades the Earth.,2014,TV-14,24,"['animation', 'scifi', 'fantasy', 'romance', 'action', 'comedy', 'drama', 'family']",['JP']
tm181270,The Frozen Ground,MOVIE,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,2013,R,105,"['thriller', 'crime', 'drama']",['US']
ts35570,Lovesick,SHOW,"After finding out he has an STI, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.",2014,TV-MA,25,"['comedy', 'european']",['GB']
